City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cabo San Lucas,22.89,-109.91,90.0,58,5,10.29,MX,1595027061
Tuatapere,-46.13,167.68,39.0,83,39,3.0,NZ,1595027191
Souillac,-20.52,57.52,69.8,73,40,11.41,MU,1595027191
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595027191
Butaritari,3.07,172.79,83.3,76,22,15.64,KI,1595027192
Kumul,42.8,93.45,76.77,19,0,8.9,CN,1595027192
New Norfolk,-42.78,147.06,39.0,85,100,2.84,AU,1595027192
Hithadhoo,-0.6,73.08,83.88,75,98,10.49,MV,1595027192
Avanigadda,16.02,80.92,81.41,78,89,8.37,IN,1595027192
Rikitea,-23.12,-134.97,73.51,82,100,14.47,PF,1595027192
Dumas,35.87,-101.97,102.0,19,1,16.11,US,1595027192
Hermanus,-34.42,19.23,60.98,44,0,8.21,ZA,1595027193
Tasiilaq,65.61,-37.64,50.0,53,0,5.82,GL,1595026984
Albany,42.6,-73.97,84.0,58,45,5.61,US,1595027119
Kisangani,0.52,25.2,69.67,95,49,1.81,CD,1595027193
Makat,47.65,53.35,86.97,45,53,11.65,KZ,1595027193
Busselton,-33.65,115.33,45.0,88,95,8.88,AU,1595027193
Alofi,-19.06,-169.92,80.6,69,42,12.75,NU,1595027193
Longyearbyen,78.22,15.64,48.2,76,40,13.87,SJ,1595027103
Barrow,71.29,-156.79,37.4,74,90,17.22,US,1595026967
Pisco,-13.7,-76.22,64.4,72,6,16.11,PE,1595027194
Punta Arenas,-53.15,-70.92,33.01,94,75,9.17,CL,1595027194
Kyshtovka,56.55,76.63,61.74,90,51,6.53,RU,1595027194
Găleşti,46.52,24.75,61.0,93,90,1.12,RO,1595027194
Āreka,7.07,37.7,59.95,90,82,2.26,ET,1595027195
Kapaa,22.08,-159.32,88.0,74,20,8.05,US,1595027195
Atuona,-9.8,-139.03,79.21,77,25,17.38,PF,1595027195
San Patricio,19.22,-104.7,86.0,66,40,11.41,MX,1595027195
Moose Factory,51.26,-80.61,77.0,47,40,10.29,CA,1595027195
Stilfontein,-26.84,26.77,45.16,40,0,2.3,ZA,1595027195
Belmonte,-15.86,-38.88,71.6,68,0,3.36,BR,1595027196
Chirongui,-12.93,45.15,77.0,69,20,17.22,YT,1595027196
